1,Ohpen already counts more than 20 top financial institutions as a customer and its hoped with the acquisition of Davinci and being able to offer a more rounded product  Ohpen can expand internationally.
1,The Amsterdam-based B2B SaaS firm SwipeGuide has raised €5 million in a round led by Speedinvest and supported by CapitalT  and Plug & Play Ventures  as well as existing investors Newion and Brumbucks.
1,Dirac  the audio expert company  has announced the completion of new direct share issue raising $17.73-million USD (150 MSEK) from TIN Fonder and DIG Investment.
1,In 2011  Robeco  with Boeren as its COO  became Ohpen’s first client.
1,Dirac Research has rasied $17.73 million in funding to create software audio solutions that will create the “future of sound.”
1,Dogger Bank Wind Farm Project Director  Steve Wilson  said: “This tier one contract with the Sif Group and Smulders is the final one to be confirmed by Dogger Bank Wind Farm for the first two phases  and marks a significant milestone for the project.
1,Telehealth platform: Swedish digital health startup Kry has raised a hearty €262 million  or about $316 million  in its latest funding round.
1,All have made follow-on investments in DigiExam’s Series A financing.
1,Stockholm-based telehealth provider Kry raised 262 million euros ($317 million) in a Series D funding round led by CPP Investments and Fidelity Management & Research.
1,Many of Europe’s leading logistics providers are also choosing Shippeo’s visibility platform  including Serbian Milsped Group  Dutch Ewals Cargo Care and Redspher.
1,The resulting technology was 2 years in the making  he says  with an MVP in April 2010 and Ohpen’s first live client signed in 2012 “[It] took a couple of years to actually program the engine.
1,SAN FRANCISCO--(BUSINESS WIRE)--LiveRamp®  an Acxiom® company (NASDAQ: ACXM)  today announced it is expanding the availability of LiveRamp’s AbiliTec® offline identity resolution platform to its martech ecosystem partners.
1,EVBox Group will supply Kingspan with just over 60 AC and DC charging stations to help the building materials manufacturer convert its corporate fleet to electric vehicles.
1,While the product is currently in closed beta  early users are describing the software as “magic” and reporting that using Zenaton’s technology has reduced the time spent on workflow coding by as much as 80%.
1,MoonX offers security consulting services to Exchanges  Wallets  Integrators and Co-location participants.
1,Germany-based foodora  which offers meals from more than 9 000 restaurants in six countries  already works with Adyen in several other markets.
0,Further details about Jscrambler’s behavior-based Magecart mitigation technology can be found in this info sheet .
0,But that business nearly evaporated when the coronavirus halted air travel  and Blacklane was forced to pivot:
0,Fastned CEO Michel Langsall says that “hundreds of these sites” are still in demand in the UK and that the company wants to enter and remain in talks with landowners and partners.
0,Truecaller India MD Rishit Jhunjhunwala said the company is committed to extending help to those who are on the frontlines and to communities.
0,For example  JavaScript Protection company  JScrambler offers:
0,The Seedrs page for Etergo is still live and indicates that the scooter was supposed to go into production by Q2 2018.
0,Shippeo has built a leading  real-time visibility solution in Europe  serving a market that is one of the fastest-growing sub-sectors of the supply-chain software market.
0,When formulating a ration on net energy  Alltech Coppens says it takes into account these differences in the utilization of digestible energy in the formulation software.
0,Helpling  a platform for cleaners  and courier service Stuart both scored one out of 10  followed by cab service Uber  food delivery spinoff Uber Eats and odd-jobs app TaskRabbit  each with two points.
0,It was particularly bad timing for Blacklane  considering that in the lead up to the pandemic  it looked to be on course to turn a profit on its focused model.
0,This article was provided by JScrambler.
0,According to the press release  there will be a MapMyIndia banner inside the Truecaller app  which will contain information about COVID-19-related healthcare facilities.
0,The new Shippeo mobile application features include:
0,We are convinced she will effectively lead our team in London and realise our intended expansion in the UK together with the great team that has already proven ParkBee is in an excellent position to create substantial value for real estate owners and consumers.
0,In the first fixture of the day (June 9) at Kiel T10 league  PSV Hann Munden will square off against VFB Fallersleben.
0,Last month  he was allowed to hand over a bunch of flowers to an employee who has been with Xeltis for 5 years.
